소재지도로명주소,위도,경도,관할기관명
서울특별시 종로구 새문안로5길 37,37.5736488068,126.9742131754,종로소방서
서울특별시 종로구 세종대로 175,37.5718478584,126.9761682759,종로소방서
서울특별시 종로구 사직로8길 60,37.5736099837,126.9750980797,종로소방서
서울특별시 종로구 사직로8길 60,37.5736099837,126.9750980797,종로소방서
서울특별시 종로구 세종대로 175,37.5718478584,126.9761682759,종로소방서
서울특별시 종로구 새문안로5길 31,37.5729765145,126.9743512846,종로소방서
서울특별시 종로구 세종대로 167,37.5712680054,126.9763048634,종로소방서
서울특별시 종로구 삼청로 66,37.58149211,126.9811311,종로소방서
서울특별시 종로구 삼청로2길 18,37.5807501287,126.9811196935,종로소방서
서울특별시 종로구 북촌로5가길 33,37.5809432684,126.9814778473,종로소방서
서울특별시 종로구 삼청로 58-3,37.58092111,126.9804819268,종로소방서
서울특별시 종로구 삼청로 48-14,37.58052911,126.9806355423,종로소방서
서울특별시 종로구 삼청로 48-,37.5802458248,126.9804573107,종로소방서
서울특별시 종로구 삼청로2길 31,37.5802603211,126.9815158289,종로소방서
서울특별시 종로구 북촌로5가길 17,37.5803084,126.981876394,종로소방서
서울특별시 종로구 북촌로5길 60-4,37.5799561016,126.9818127419,종로소방서
서울특별시 종로구 북촌로5길 66,37.5799013455,126.9813910466,종로소방서
서울특별시 종로구 율곡로1길 82,37.5789174116,126.9816563135,종로소방서
서울특별시 종로구 송월길 99,37.570861095,126.9623522571,종로소방서
서울특별시 종로구 송월길 99,37.570861095,126.9623522571,종로소방서
서울특별시 종로구 송월길 99,37.570861095,126.9623522571,종로소방서
서울특별시 종로구 통일로 162,37.5685974328,126.9643804611,종로소방서
서울특별시 종로구 경교장길 35,37.5688537151,126.9651148526,종로소방서
서울특별시 종로구 경교장길 35,37.5688537151,126.9651148526,종로소방서
서울특별시 종로구 경교장1길 9,37.56806482,126.9651919734,종로소방서
서울특별시 종로구 새문안로 9,37.5667630123,126.9672024939,종로소방서
서울특별시 종로구 경교장길 35,37.5688537151,126.9651148526,종로소방서
서울특별시 종로구 경교장길 35,37.5688537151,126.9651148526,종로소방서
서울특별시 종로구 율곡로4길 2,37.5753503676,126.9821962634,종로소방서
서울특별시 종로구 율곡로4길 55,37.5732079277,126.9812551,종로소방서
서울특별시 종로구 율곡로 18,37.575331355,126.9815981009,종로소방서
서울특별시 종로구 우정국로 51-13,37.5732551,126.9822856226,종로소방서
서울특별시 종로구 우정국로 45,37.5731212631,126.9825083207,종로소방서
서울특별시 종로구 율곡로4길 59,37.57307711,126.9811704252,종로소방서
서울특별시 종로구 율곡로2길 25,37.5743642341,126.98051726,종로소방서
서울특별시 종로구 율곡로2길 7,37.5750118075,126.9812496277,종로소방서
서울특별시 종로구 종로5길 86,37.574149694,126.9799004801,종로소방서
서울특별시 종로구 율곡로2길 29,37.57496311,126.9802351,종로소방서
서울특별시 종로구 율곡로2길 29,37.57450811,126.9815131,종로소방서
서울특별시 종로구 종로5길 86,37.574149694,126.9799004801,종로소방서
서울특별시 종로구 종로1길 42-1,37.5742266028,126.9786676922,종로소방서
서울특별시 종로구 삼봉로 33,37.5725887471,126.9790189639,종로소방서
서울특별시 종로구 새문안로 97,37.5706978504,126.9753982274,종로소방서
서울특별시 종로구 새문안로 83,37.570354625,126.9739685628,종로소방서
서울특별시 종로구 새문안로 79,37.5707914308,126.9735778826,종로소방서
서울특별시 종로구 새문안로 76,37.5697975427,126.97317741,종로소방서
서울특별시 종로구 새문안로3길 11,37.5713439085,126.972342817,종로소방서
서울특별시 종로구 새문안로3길 7,37.5709332289,126.9723172731,종로소방서
서울특별시 종로구 새문안로 68,37.5696425113,126.972139469,종로소방서
서울특별시 종로구 새문안로 82,37.5697946482,126.9739315165,종로소방서
서울특별시 종로구 새문안로 92,37.5696996246,126.974907969,종로소방서
서울특별시 종로구 새문안로 96,37.56996642,126.9754333401,종로소방서
서울특별시 종로구 세종대로21길 71,37.5695400152,126.975561835,종로소방서
서울특별시 종로구 새문안로 9,37.56678826,126.9672981,종로소방서
서울특별시 종로구 사직로6길 16,37.5727692432,126.9653395,종로소방서
서울특별시 종로구 사직로6길 18,37.57269108,126.9654685,종로소방서
서울특별시 종로구길 36,37.57277038,126.9696758,종로소방서
서울특별시 종로구1길 35,37.5727280927,126.9690111,종로소방서
서울특별시 종로구길 31,37.57232176,126.9701366513,종로소방서
서울특별시 종로구1길 20,37.5719220498,126.9703734059,종로소방서
서울특별시 종로구1길 16,37.5716953499,126.9706963362,종로소방서
서울특별시 종로구길 14,37.5716843969,126.9715936604,종로소방서
서울특별시 종로구길 49,37.5733331724,126.9685687,종로소방서
서울특별시 종로구길 7,37.5708273444,126.9718618091,종로소방서
서울특별시 종로구1길 11,37.57126745,126.9708843156,종로소방서
서울특별시 종로구길 19,37.5715441346,126.9713114,종로소방서
서울특별시 종로구1가길 9,37.572182473,126.9687640704,종로소방서
서울특별시 종로구길 39,37.5727890145,126.9694203747,종로소방서
서울특별시 종로구 새문안로 55,37.5704968494,126.9710752204,종로소방서
서울특별시 종로구 송월길 12-1,37.5686366183,126.9684717013,종로소방서
서울특별시 종로구 새문안로 91,37.5704876038,126.9747610025,종로소방서
서울특별시 종로구 새문안로 41,37.5690130066,126.9696653985,종로소방서
서울특별시 종로구 새문안로 50,37.5689529003,126.9706963919,종로소방서
서울특별시 종로구 새문안로 50,37.56893825,126.9706963919,종로소방서
서울특별시 종로구길 9,37.571205108,126.9717973,종로소방서
서울특별시 종로구 새문안로 68,37.5696425113,126.972139469,종로소방서
서울특별시 종로구 윤보선길 57,37.57837911,126.98315815,종로소방서
서울특별시 종로구 율곡로3길 50,37.57776511,126.9835581372,종로소방서
서울특별시 종로구 윤보선길 42,37.5779865507,126.9838210685,종로소방서
서울특별시 종로구 윤보선길 12,37.576671791,126.9842748541,종로소방서
서울특별시 종로구 북촌로1길 22,37.57732603,126.9845376,종로소방서
서울특별시 종로구 율곡로5길 12,37.5771206872,126.9851309378,종로소방서
서울특별시 종로구 율곡로 53,37.5766003626,126.9851275319,종로소방서
서울특별시 종로구 율곡로 49,37.5764688649,126.9847930368,종로소방서
서울특별시 종로구 윤보선길 22,37.5770274798,126.9840473,종로소방서
서울특별시 종로구 율곡로3길 4,37.576648174,126.9835333635,종로소방서
서울특별시 종로구 율곡로3길 4,37.576648174,126.9835333635,종로소방서
서울특별시 종로구 율곡로 39,37.5760430167,126.9838273756,종로소방서
서울특별시 종로구 윤보선길 19-53,37.5773258785,126.9833666875,종로소방서
서울특별시 종로구 율곡로3길 50,37.5777608153,126.9835581372,종로소방서
서울특별시 종로구 인사동길 22,37.5727319408,126.9866250251,종로소방서
서울특별시 종로구 인사동길 20-14,37.5725034324,126.9872956578,종로소방서
서울특별시 종로구 인사동길 15,37.5721663849,126.9866988,종로소방서
서울특별시 종로구 북촌로5나길 50,37.58285211,126.9823410858,종로소방서
서울특별시 종로구 인사동길 1,37.57100731,126.9872603591,종로소방서
서울특별시 종로구 인사동1길 17,37.5709963704,126.9867361,종로소방서
서울특별시 종로구 인사동길 11-1,37.57182331,126.9866811023,종로소방서
서울특별시 종로구 삼청로7길 23,37.5837733219,126.9805614533,종로소방서
서울특별시 종로구 인사동5길 9,37.57263566,126.9857868,종로소방서
서울특별시 종로구 인사동5길 38,37.5725842398,126.9842107372,종로소방서
서울특별시 종로구 종로9길 24,37.5712796043,126.9849417013,종로소방서
서울특별시 종로구 종로11길 22,37.5713201743,126.9858745526,종로소방서
서울특별시 종로구 인사동4길 12,37.57311746,126.9869395,종로소방서
서울특별시 종로구 효자로 3,37.5762482266,126.9740311513,종로소방서
서울특별시 종로구 사직로 137-3,37.57601694,126.9739585,종로소방서
서울특별시 종로구 사직로 133-2,37.5760709816,126.9735383202,종로소방서
서울특별시 종로구 새문안로5길 55,37.5751282762,126.9739666748,종로소방서
서울특별시 종로구 새문안로5길 55,37.5751282762,126.9739666748,종로소방서
서울특별시 종로구 새문안로5길 55,37.5751282762,126.9739666748,종로소방서
서울특별시 종로구 사직로 125,37.57614902,126.9728543045,종로소방서
서울특별시 종로구 새문안로5가길 32,37.5749070788,126.9735468826,종로소방서
서울특별시 종로구 새문안로5가길 28,37.5744601966,126.973597076,종로소방서
서울특별시 종로구 새문안로5가길 28,37.5744601966,126.973597076,종로소방서
서울특별시 종로구 새문안로5가길 28,37.5744601966,126.973597076,종로소방서
서울특별시 종로구 종로 1,37.5709578373,126.9779287701,종로소방서
서울특별시 종로구 종로3길 17,37.5709958592,126.9789144773,종로소방서
서울특별시 종로구 종로 19,37.5708444878,126.979942,종로소방서
서울특별시 종로구 종로 19,37.5708444878,126.9799236681,종로소방서
서울특별시 종로구 종로 33,37.5709617749,126.9814848,종로소방서
서울특별시 종로구 종로 61,37.570438709,126.9842041,종로소방서
서울특별시 종로구 종로 65,37.5704813826,126.9847089044,종로소방서
서울특별시 종로구 종로 77,37.5704243338,126.9860662,종로소방서
서울특별시 종로구 종로 83-1,37.570420645,126.9868664328,종로소방서
서울특별시 종로구 종로 89,37.5704588128,126.9873767139,종로소방서
서울특별시 종로구 종로 99,37.5706125034,126.9880099,종로소방서
서울특별시 종로구 종로 99,37.5706125034,126.9880586957,종로소방서
서울특별시 종로구 수표로 105,37.5705989139,126.9891529663,종로소방서
서울특별시 종로구 수표로 105,37.5705989139,126.9891529663,종로소방서
서울특별시 종로구 종로 104,37.5699634381,126.9891115158,종로소방서
서울특별시 종로구 종로 94,37.56994583,126.9880874407,종로소방서
서울특별시 종로구 삼일대로 395,37.56992058,126.9873599415,종로소방서
서울특별시 종로구 종로 82-1,37.569943544,126.9866869,종로소방서
서울특별시 종로구 종로 80-2,37.56996675,126.9864244884,종로소방서
서울특별시 종로구 종로 78,37.5698795927,126.9860413348,종로소방서
서울특별시 종로구 종로 62,37.56999357,126.9842544,종로소방서
서울특별시 종로구 종로 69,37.5705768749,126.9853141452,종로소방서
서울특별시 종로구 율곡로 6,37.5754538625,126.979775832,종로소방서
서울특별시 종로구 종로1길 58,37.5753400856,126.979363689,종로소방서
서울특별시 종로구 삼봉로 60,37.5722870644,126.9804804,종로소방서
서울특별시 종로구 종로5길 7,37.5706161018,126.9805598926,종로소방서
서울특별시 종로구 삼봉로 95,37.5723111874,126.9825435,종로소방서
서울특별시 종로구 종로 33,37.5709617749,126.9814379838,종로소방서
서울특별시 종로구 종로5길 13,37.57103051,126.9804654911,종로소방서
서울특별시 종로구 종로3길 24-9,37.57124976,126.9793857,종로소방서
서울특별시 종로구 종로5길 31,37.57165012,126.9803955892,종로소방서
서울특별시 종로구 삼봉로 40,37.57239334,126.9794453266,종로소방서
서울특별시 종로구 종로 1,37.5709578373,126.9779287701,종로소방서
서울특별시 종로구 종로3길 24,37.57155991,126.9792278,종로소방서
서울특별시 종로구 세종대로 178,37.572150639,126.9777915609,종로소방서
서울특별시 종로구 종로 19,37.5708444878,126.9799236681,종로소방서
서울특별시 종로구 종로3길 17,37.5709958592,126.9789144773,종로소방서
서울특별시 종로구 팔판길 38,37.5834619791,126.9813714797,종로소방서
서울특별시 종로구 삼청로 91,37.58357111,126.9817681,종로소방서
서울특별시 종로구 청와대로 73,37.5816787667,126.9804663329,종로소방서
서울특별시 종로구 팔판길 16,37.5825613803,126.9810206263,종로소방서
서울특별시 종로구 삼청로7길 31,37.5837604398,126.9800339823,종로소방서
서울특별시 종로구 종로7길 47,37.5717036779,126.9827829309,종로소방서
서울특별시 종로구 삼청로5길 30,37.5830376939,126.9802179235,종로소방서
서울특별시 종로구 삼청로 65,37.58140111,126.9808842544,종로소방서
서울특별시 종로구 경교장길 35,37.5688537151,126.9651148526,종로소방서
서울특별시 종로구 경교장길 43,37.56929423,126.9670149,종로소방서
